1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,COCOH,COH,CO,Eads (Ry),Eads (eV)
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.772186,-45.96092785,-44.85,0.03874185,0.527
4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,-90.78277871,-46.03247817,-44.85,0.09969946,1.356
5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,-90.82643826,-46.04631825,-44.85,0.06987999,0.951
4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,5,8,-90.82070627,-46.02824037,-44.85,0.0575341,0.783
5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.78989333,-45.99840116,-44.85,0.05850783,0.796
4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.721997,-45.94936635,-44.85,0.07736935,1.053
4,11,5,8,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,5,8,4,11,5,8,-90.81568552,-46.06013626,-44.85,0.09445074,1.285
4,11,4,11,5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.73119334,-45.94630982,-44.85,0.06511648,0.886
4,11,5,8,5,8,5,8,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.71909997,-45.93490044,-44.85,0.06580047,0.895
4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,-90.74112467,-45.95712484,-44.85,0.06600017,0.898
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,-90.79701745,-46.01363082,-44.85,0.06661337,0.906
5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.73888076,-45.95330607,-44.85,0.06442531,0.877
4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,-90.78341177,-46.0306147,-44.85,0.09720293,1.323
4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,5,8,4,11,5,8,4,11,-90.7827964,-46.03462595,-44.85,0.10182955,1.385
4,11,5,8,4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.71291529,-45.9247519,-44.85,0.06183661,0.841
4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.72851301,-45.94043299,-44.85,0.06191998,0.842
5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.79703067,-46.01363981,-44.85,0.06660914,0.906
4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.72200925,-45.94936576,-44.85,0.07735651,1.052
4,11,5,8,4,11,5,8,4,11,4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,-90.76002095,-45.9652547,-44.85,0.05523375,0.751
4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,5,8,4,11,5,8,4,11,-90.77936955,-46.02309524,-44.85,0.09372569,1.275
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,-90.81846521,-46.03811393,-44.85,0.06964872,0.948
5,8,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,5,8,5,8,5,8,4,11,-90.8763021,-46.06201944,-44.85,0.03571734,0.486
4,11,5,8,4,11,4,11,5,8,4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,-90.77835455,-46.02102263,-44.85,0.09266808,1.261
4,11,5,8,5,8,4,11,4,11,5,8,4,11,5,8,4,11,4,11,5,8,5,8,4,11,-90.85257707,-46.0384324,-44.85,0.03585533,0.488
5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.72886893,-45.94394379,-44.85,0.06507486,0.885
4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,-90.73936946,-45.95097167,-44.85,0.06160221,0.838
5,8,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.73915089,-45.95426883,-44.85,0.06511794,0.886
4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,-90.81639042,-46.02503718,-44.85,0.05864676,0.798
4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.78993716,-46.01413088,-44.85,0.07419372,1.009
4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,5,8,4,11,-90.77599661,-46.03493213,-44.85,0.10893552,1.482
4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.73269089,-45.94022483,-44.85,0.05753394,0.783
4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.78653383,-45.99992106,-44.85,0.06338723,0.862
4,11,4,11,4,11,5,8,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,-90.74124937,-45.95727086,-44.85,0.06602149,0.898
4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,5,8,4,11,-90.79292892,-45.9962766,-44.85,0.05334768,0.726
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.70632829,-45.92055208,-44.85,0.06422379,0.874
4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,5,8,-90.80625659,-46.03283116,-44.85,0.07657457,1.042
4,11,5,8,4,11,5,8,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.7193952,-45.93014093,-44.85,0.06074573,0.826
5,8,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.73504079,-45.94765927,-44.85,0.06261848,0.852
4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,5,8,4,11,5,8,4,11,-90.79094918,-45.99877981,-44.85,0.05783063,0.787
5,8,4,11,5,8,4,11,5,8,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.73838648,-45.89500097,-44.85,0.00661449,0.090
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,-90.7922827,-46.0139476,-44.85,0.0716649,0.975
4,11,5,8,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.71255194,-45.92885094,-44.85,0.066299,0.902
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.78889894,-46.00120181,-44.85,0.06230287,0.848
4,11,4,11,5,8,4,11,4,11,4,11,5,8,5,8,4,11,5,8,4,11,5,8,4,11,-90.8097934,-45.97596178,-44.85,0.01616838,0.220
4,11,5,8,4,11,5,8,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.72214554,-45.92937284,-44.85,0.0572273,0.779
4,11,4,11,5,8,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,-90.78098581,-46.00228789,-44.85,0.07130208,0.970
5,8,5,8,4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,5,8,4,11,-90.78690355,-45.97017623,-44.85,0.03327268,0.453
4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.79319212,-46.03075361,-44.85,0.08756149,1.191
4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.79014458,-46.01462263,-44.85,0.07447805,1.013
4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.72151424,-45.94399469,-44.85,0.07248045,0.986
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,-90.81845231,-46.03825498,-44.85,0.06980267,0.950
5,8,5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7058921,-45.94132847,-44.85,0.08543637,1.162
5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,-90.80189466,-46.02582883,-44.85,0.07393417,1.006
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,5,8,-90.84107416,-46.03817042,-44.85,0.04709626,0.641
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.77667445,-46.028901,-44.85,0.10222655,1.391
4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,-90.78922456,-46.01522198,-44.85,0.07599742,1.034
4,11,5,8,4,11,5,8,4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,-90.75102595,-45.96249007,-44.85,0.06146412,0.836
4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,-90.77575842,-45.96532053,-44.85,0.03956211,0.538
4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,5,8,5,8,4,11,5,8,-90.82605707,-46.05166338,-44.85,0.07560631,1.029
4,11,4,11,4,11,4,11,5,8,4,11,5,8,5,8,4,11,4,11,4,11,4,11,5,8,-90.80054895,-46.03482479,-44.85,0.08427584,1.147
4,11,5,8,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.70370066,-45.93045214,-44.85,0.07675148,1.044
4,11,5,8,4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,5,8,-90.76660914,-46.00490805,-44.85,0.08829891,1.201
4,11,4,11,4,11,5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.74126357,-45.9572714,-44.85,0.06600783,0.898
5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.73125401,-45.94747341,-44.85,0.0662194,0.901
4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,-90.79322952,-46.03073659,-44.85,0.08750707,1.191
5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.78321518,-46.01856005,-44.85,0.08534487,1.161
4,11,4,11,4,11,4,11,5,8,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,-90.73568971,-45.95214001,-44.85,0.0664503,0.904
4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.78100577,-45.96707019,-44.85,0.03606442,0.491
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,-90.81610892,-46.0358674,-44.85,0.06975848,0.949
5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.70303291,-45.92346996,-44.85,0.07043705,0.958
5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.71357209,-45.92958696,-44.85,0.06601487,0.898
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,-90.83720722,-46.02076218,-44.85,0.03355496,0.457
4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.74922486,-45.95537109,-44.85,0.05614623,0.764
4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,-90.7899612,-46.01407589,-44.85,0.07411469,1.008
4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.74293497,-45.95176055,-44.85,0.05882558,0.800
4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,-90.79580196,-46.03427143,-44.85,0.08846947,1.204
4,11,4,11,4,11,4,11,5,8,5,8,5,8,4,11,4,11,5,8,5,8,4,11,4,11,-90.79424882,-46.03448851,-44.85,0.09023969,1.228
5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,-90.78988846,-45.97905202,-44.85,0.03916356,0.533
5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.74004604,-45.95136718,-44.85,0.06132114,0.834
4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.73955229,-45.94988676,-44.85,0.06033447,0.821
5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.78887591,-46.01402384,-44.85,0.07514793,1.022
4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.78992546,-45.97842092,-44.85,0.03849546,0.524
4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,-90.74527441,-45.95073528,-44.85,0.05546087,0.755
5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,5,8,4,11,5,8,-90.79358093,-46.01853288,-44.85,0.07495195,1.020
4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,4,11,4,11,5,8,-90.82123981,-46.04360043,-44.85,0.07236062,0.985
4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7287759,-45.93583593,-44.85,0.05706003,0.776
4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.79444507,-45.98323962,-44.85,0.03879455,0.528
5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.78602425,-45.98003305,-44.85,0.0440088,0.599
5,8,5,8,5,8,5,8,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,-90.7911091,-46.03428246,-44.85,0.09317336,1.268
4,11,4,11,4,11,5,8,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,-90.73568063,-45.95212277,-44.85,0.06644214,0.904
4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,-90.74348337,-45.94749753,-44.85,0.05401416,0.735
4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.73869337,-45.94803375,-44.85,0.05934038,0.807
4,11,5,8,5,8,5,8,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.77624054,-45.96029124,-44.85,0.0340507,0.463
4,11,4,11,4,11,5,8,4,11,5,8,5,8,5,8,4,11,5,8,4,11,5,8,4,11,-90.78315043,-46.02219142,-44.85,0.08904099,1.211
4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,-90.83712367,-46.05259977,-44.85,0.0654761,0.891
4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,-90.8224161,-46.04178026,-44.85,0.06936416,0.944
4,11,5,8,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.70356752,-45.918953,-44.85,0.06538548,0.890
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,-90.77679112,-46.02887991,-44.85,0.10208879,1.389
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,-90.78210279,-45.96742708,-44.85,0.03532429,0.481
4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,-90.79259111,-46.01203576,-44.85,0.06944465,0.945
4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,5,8,-90.80907001,-46.02822339,-44.85,0.06915338,0.941
