,Eads pred (eV),Elements
51,-3.106302261352539,Ru_Rh
52,-3.1457784175872803,Ru_Rh
53,-4.268028736114502,Ru_Rh
54,-2.784257173538208,Ru_Rh
55,-3.136594295501709,Ru_Rh
56,-3.988875389099121,Ru_Rh
57,-3.6174275875091553,Ru_Rh
58,-3.0976195335388184,Ru_Rh
59,-4.493744373321533,Ru_Rh
60,-4.3132643699646,Ru_Rh
61,-4.410406589508057,Ru_Rh
62,-3.819051504135132,Ru_Rh
63,-2.4181268215179443,Ru_Rh
64,-2.4181268215179443,Ru_Rh
65,-3.446702003479004,Ru_Rh
66,-3.687594175338745,Ru_Rh
67,-2.9972500801086426,Ru_Rh
68,-3.6797332763671875,Ru_Rh
69,-3.0953049659729004,Ru_Rh
70,-3.982913017272949,Ru_Rh
71,-3.898772716522217,Ru_Rh
72,-3.3637943267822266,Ru_Rh
73,-2.288641929626465,Ru_Rh
74,-2.548227548599243,Ru_Rh
75,-3.424365520477295,Ru_Rh
76,-2.6479344367980957,Ru_Rh
77,-4.192052364349365,Ru_Rh
78,-3.9038760662078857,Ru_Rh
79,-3.3898661136627197,Ru_Rh
80,-2.719642162322998,Ru_Rh
81,-2.332901954650879,Ru_Rh
82,-2.7129125595092773,Ru_Rh
83,-4.195194721221924,Ru_Rh
84,-3.930335760116577,Ru_Rh
85,-2.684079170227051,Ru_Rh
86,-3.9679338932037354,Ru_Rh
87,-3.379230499267578,Ru_Rh
88,-4.158895969390869,Ru_Rh
89,-3.7272448539733887,Ru_Rh
90,-3.7490224838256836,Ru_Rh
91,-3.3700878620147705,Ru_Rh
92,-3.411397933959961,Ru_Rh
93,-2.5822761058807373,Ru_Rh
94,-3.796842336654663,Ru_Rh
95,-3.3798632621765137,Ru_Rh
96,-2.243210792541504,Ru_Rh
97,-3.2905540466308594,Ru_Rh
98,-3.1974570751190186,Ru_Rh
99,-4.083323955535889,Ru_Rh
100,-3.445704936981201,Ru_Rh
101,-3.3037045001983643,Ru_Rh
102,-2.1971888542175293,Ru_Rh
103,-4.001412868499756,Ru_Rh
104,-3.6351451873779297,Ru_Rh
105,-2.8198068141937256,Ru_Rh
106,-3.095719337463379,Ru_Rh
107,-3.6009225845336914,Ru_Rh
108,-3.3379650115966797,Ru_Rh
109,-2.2339863777160645,Ru_Rh
110,-3.554349184036255,Ru_Rh
111,-3.636112928390503,Ru_Rh
112,-4.4281840324401855,Ru_Rh
113,-3.492832899093628,Ru_Rh
114,-3.287419319152832,Ru_Rh
115,-4.033978462219238,Ru_Rh
116,-3.646909475326538,Ru_Rh
117,-3.054716110229492,Ru_Rh
118,-3.5456736087799072,Ru_Rh
119,-4.068192958831787,Ru_Rh
120,-4.728882789611816,Ru_Rh
121,-4.005522727966309,Ru_Rh
122,-2.7358245849609375,Ru_Rh
123,-4.05288553237915,Ru_Rh
124,-2.633880376815796,Ru_Rh
125,-2.3947110176086426,Ru_Rh
126,-2.5638530254364014,Ru_Rh
127,-3.500211715698242,Ru_Rh
128,-4.00474214553833,Ru_Rh
129,-3.560028553009033,Ru_Rh
130,-3.927976608276367,Ru_Rh
131,-3.4189066886901855,Ru_Rh
132,-3.3176889419555664,Ru_Rh
133,-3.4167065620422363,Ru_Rh
134,-3.7507753372192383,Ru_Rh
135,-3.5899932384490967,Ru_Rh
136,-4.127573490142822,Ru_Rh
137,-3.3886728286743164,Ru_Rh
138,-3.484581470489502,Ru_Rh
139,-3.1593830585479736,Ru_Rh
140,-3.87731671333313,Ru_Rh
141,-4.090915203094482,Ru_Rh
142,-2.092808723449707,Ru_Rh
143,-3.4634599685668945,Ru_Rh
144,-3.435044288635254,Ru_Rh
145,-2.259384870529175,Ru_Rh
146,-3.4367709159851074,Ru_Rh
147,-3.507096767425537,Ru_Rh
148,-3.7190663814544678,Ru_Rh
149,-3.2971959114074707,Ru_Rh
150,-2.6671462059020996,Ru_Rh
151,-3.430851936340332,Ru_Rh
152,-3.909010887145996,Ru_Rh
153,-2.7139673233032227,Ru_Rh
154,-3.264674186706543,Ru_Rh
155,-4.069637298583984,Ru_Rh
156,-4.0336174964904785,Ru_Rh
157,-4.151376247406006,Ru_Rh
158,-3.6681034564971924,Ru_Rh
159,-3.1468710899353027,Ru_Rh
160,-3.7500689029693604,Ru_Rh
161,-2.6634507179260254,Ru_Rh
162,-2.5424106121063232,Ru_Rh
163,-3.6278676986694336,Ru_Rh
164,-3.464841365814209,Ru_Rh
165,-3.863738775253296,Ru_Rh
166,-2.7141640186309814,Ru_Rh
167,-3.3716983795166016,Ru_Rh
168,-3.5066466331481934,Ru_Rh
169,-3.656965732574463,Ru_Rh
170,-4.538937568664551,Ru_Rh
171,-3.8919200897216797,Ru_Rh
172,-2.3574984073638916,Ru_Rh
173,-2.653477191925049,Ru_Rh
174,-3.562187671661377,Ru_Rh
175,-2.6556153297424316,Ru_Rh
176,-3.8364875316619873,Ru_Rh
177,-3.3171675205230713,Ru_Rh
